KINDCODE,DAMAGEDATE,REPORTDATE,ENDCASEDATE,inc,policycode,claimcode
车损险,11JUN2015:14:10:00,11JUN2015:14:12:00,11JUN2015:15:32:44,1800,P167,C57
三者险,01DEC2015:14:45:00,01DEC2015:14:54:00,01DEC2015:16:01:12,0,P167,C58
三者险,30MAY2016:13:00:00,30MAY2016:13:42:00,30MAY2016:16:28:23,0,P169,C59
三者险,10DEC2016:15:00:00,10DEC2016:15:20:00,11DEC2016:11:07:20,0,P169,C60
交强险,16JUN2016:18:50:00,16JUN2016:19:01:00,19JUN2016:14:06:22,2050,P174,C61
车损险,22JAN2016:08:30:00,22JAN2016:11:17:00,22JAN2016:15:10:18,2300,P176,C62
三者险,16JUN2016:18:50:00,16JUN2016:19:01:00,19JUN2016:14:06:22,0,P176,C63
车损险,16JUN2016:18:50:00,16JUN2016:19:01:00,19JUN2016:14:06:22,1850,P176,C63
车损险,31MAR2017:16:30:00,02APR2017:09:45:00,02APR2017:11:01:26,1500,P178,C64
交强险,18MAY2014:10:00:00,18MAY2014:10:10:00,18MAY2014:17:39:11,500,P182,C65
交强险,22FEB2015:13:55:00,22FEB2015:13:59:00,19MAR2015:16:01:35,2100,P182,C66
三者险,18MAY2014:10:00:00,18MAY2014:10:10:00,18MAY2014:17:39:58,0,P185,C67
车损险,18MAY2014:10:00:00,18MAY2014:10:10:00,18MAY2014:17:39:58,500,P185,C67
三者险,22FEB2015:13:55:00,22FEB2015:13:59:00,19MAR2015:16:01:36,5942.4,P185,C68
车损险,22FEB2015:13:55:00,22FEB2015:13:59:00,19MAR2015:16:01:36,15420,P185,C68
交强险,30APR2014:07:40:00,30APR2014:16:25:00,28FEB2015:10:47:49,5000,P200,C69
交强险,17AUG2014:12:45:00,17AUG2014:12:53:00,23AUG2014:16:33:11,450,P237,C70
交强险,05SEP2014:18:30:00,05SEP2014:18:33:00,20OCT2014:12:32:07,2100,P203,C71
交强险,21SEP2014:19:23:00,21SEP2014:19:23:00,21OCT2014:11:03:53,2100,P258,C72
交强险,04DEC2014:20:00:00,05DEC2014:10:09:00,08DEC2014:00:55:20,500,P287,C73
交强险,11DEC2014:11:10:00,11DEC2014:11:36:00,15DEC2014:09:32:29,850.4,P245,C74
交强险,29DEC2014:18:00:00,29DEC2014:18:20:00,30DEC2014:19:15:52,750,P271,C75
交强险,28JAN2015:08:40:00,28JAN2015:08:48:00,28JAN2015:10:51:49,600,P243,C76
交强险,29JAN2015:16:30:00,29JAN2015:16:57:00,27MAR2015:10:17:44,2100,P269,C77
交强险,06FEB2015:18:10:00,06FEB2015:18:16:00,28FEB2015:08:58:20,2100,P221,C78
交强险,10FEB2015:08:40:00,10FEB2015:08:51:00,10FEB2015:10:57:03,1300,P294,C79
交强险,18FEB2015:11:25:00,18FEB2015:11:32:00,09MAR2015:15:51:40,2000,P249,C80
交强险,09MAR2015:19:20:00,09MAR2015:19:29:00,17MAR2015:11:10:25,950,P313,C81
交强险,29MAR2015:16:25:00,29MAR2015:16:33:00,10APR2015:17:48:03,2100,P295,C82
交强险,11APR2015:18:40:00,11APR2015:18:48:00,11APR2015:20:55:23,1300,P311,C83
交强险,14APR2015:12:10:00,14APR2015:12:20:00,14APR2015:13:46:04,500,P250,C84
交强险,22APR2015:15:25:00,22APR2015:16:22:00,12JUN2015:13:58:16,2100,P276,C85
交强险,02MAY2015:08:45:00,02MAY2015:08:50:00,01JUN2015:17:30:19,2000,P260,C86
交强险,11JUN2015:19:30:00,12JUN2015:11:52:00,12JUN2015:13:33:04,450,P278,C87
交强险,11JUN2015:15:00:00,11JUN2015:15:37:00,18JUN2015:15:34:01,2100,P279,C88
交强险,15JUN2015:05:50:00,15JUN2015:06:02:00,10JUL2015:15:43:40,1750,P266,C89
交强险,03JUL2015:08:30:00,03JUL2015:08:35:00,04JUL2015:13:42:22,2000,P314,C90
交强险,07JUL2015:13:40:00,07JUL2015:13:51:00,07JUL2015:22:53:56,2100,P294,C91
交强险,09JUL2015:10:10:00,09JUL2015:10:17:00,09JUL2015:17:28:21,1100.4,P310,C92
交强险,20JUL2015:20:00:00,22JUL2015:14:35:00,22JUL2015:16:10:59,700,P301,C93
交强险,18JUL2015:17:50:00,18JUL2015:17:55:00,19AUG2015:16:57:25,2100,P245,C94
交强险,28JUL2015:11:20:00,28JUL2015:11:57:00,02AUG2015:15:03:53,1100,P232,C95
交强险,02AUG2015:14:15:00,02AUG2015:14:35:00,04AUG2015:08:51:34,1000,P222,C96
交强险,06AUG2015:07:38:00,06AUG2015:07:49:00,21AUG2015:10:06:15,2100,P324,C97
交强险,15SEP2015:11:55:00,15SEP2015:12:59:00,20SEP2015:11:09:08,1750,P365,C98
交强险,23SEP2015:10:25:00,23SEP2015:15:24:00,23SEP2015:17:21:16,1000,P316,C99
交强险,24SEP2015:11:30:00,24SEP2015:14:20:00,24SEP2015:16:40:14,900,P360,C100
交强险,26SEP2015:07:25:00,26SEP2015:07:31:00,02OCT2015:15:57:47,1300.4,P406,C101
交强险,11OCT2015:11:45:00,11OCT2015:11:48:00,11OCT2015:13:53:28,900,P429,C102
交强险,30SEP2015:10:20:00,12OCT2015:10:45:00,12OCT2015:14:54:07,1000,P322,C103
交强险,19OCT2015:07:55:00,20OCT2015:09:11:00,20OCT2015:16:12:11,400,P351,C104
交强险,19OCT2015:22:40:00,20OCT2015:07:22:00,10NOV2015:11:41:00,100,P364,C105
交强险,04NOV2015:19:20:00,04NOV2015:19:23:00,05NOV2015:08:11:59,900,P415,C106
交强险,06NOV2015:09:00:00,06NOV2015:10:38:00,07JAN2016:13:51:38,2676,P433,C107
交强险,14NOV2015:12:10:00,14NOV2015:13:00:00,14NOV2015:14:06:39,2000,P377,C108
交强险,15NOV2015:20:55:00,15NOV2015:21:03:00,16NOV2015:11:10:48,1000,P436,C109
交强险,16NOV2015:23:00:00,17NOV2015:08:49:00,17NOV2015:15:28:16,1000,P451,C110
交强险,29NOV2015:14:00:00,30NOV2015:13:26:00,30NOV2015:16:06:26,1600,P418,C111
交强险,12DEC2015:21:40:00,12DEC2015:21:48:00,19DEC2015:10:09:36,1100,P370,C112
交强险,18DEC2015:14:17:00,18DEC2015:15:47:00,14JAN2016:15:10:53,2100,P312,C113
交强险,30DEC2015:12:00:00,30DEC2015:14:49:00,30DEC2015:19:38:37,900,P310,C114
交强险,01JAN2016:10:50:00,01JAN2016:10:56:00,13JAN2016:09:28:37,1750,P439,C115
交强险,10JAN2016:07:30:00,10JAN2016:14:14:00,10JAN2016:23:08:24,2600,P327,C116
交强险,24JAN2016:19:45:00,24JAN2016:19:51:00,21APR2016:11:29:32,660,P429,C117
交强险,12FEB2016:23:00:00,12FEB2016:23:05:00,02MAR2016:20:02:12,2100,P445,C118
交强险,21FEB2016:08:20:00,21FEB2016:08:40:00,21FEB2016:13:30:54,800,P365,C119
交强险,01MAR2016:09:40:00,01MAR2016:09:43:00,01MAR2016:11:42:37,1950,P316,C120
交强险,12MAR2016:10:00:00,12MAR2016:10:04:00,10APR2016:16:36:15,2100,P372,C121
交强险,23MAR2016:09:30:00,23MAR2016:10:10:00,23MAR2016:22:18:19,800,P325,C122
交强险,30MAR2016:13:20:00,30MAR2016:13:23:00,30MAR2016:17:18:48,900,P350,C123
交强险,01APR2016:09:27:00,01APR2016:13:13:00,06APR2016:17:24:11,1150,P468,C124
交强险,05APR2016:22:00:00,06APR2016:10:52:00,07APR2016:13:45:41,900,P421,C125
交强险,06APR2016:09:50:00,06APR2016:09:54:00,21APR2016:11:30:54,2100,P370,C126
交强险,30APR2016:13:20:00,30APR2016:13:27:00,30APR2016:19:07:12,1000,P419,C127
交强险,26APR2016:10:22:00,06MAY2016:13:48:00,06MAY2016:16:34:38,800,P384,C128
交强险,08MAY2016:14:55:00,08MAY2016:15:17:00,08MAY2016:16:31:42,1600,P322,C129
交强险,13MAY2016:10:40:00,13MAY2016:11:22:00,13MAY2016:13:08:47,1500,P392,C130
交强险,17MAY2016:20:00:00,17MAY2016:20:22:00,18MAY2016:10:55:08,800,P386,C131
交强险,29MAY2016:14:50:00,29MAY2016:14:53:00,08JUN2016:10:24:29,2100,P395,C132
交强险,22JUN2016:16:40:00,23JUN2016:08:39:00,23JUN2016:20:13:43,1200,P473,C133
交强险,28JUN2016:14:00:00,29JUN2016:11:23:00,29JUN2016:14:12:34,4500,P327,C134
交强险,04JUL2016:15:20:00,04JUL2016:15:26:00,04JUL2016:17:38:45,1100.4,P427,C135
交强险,14JUL2016:08:50:00,14JUL2016:09:32:00,18JUL2016:15:50:36,1300,P431,C136
交强险,24JUL2016:12:00:00,24JUL2016:12:28:00,24JUL2016:21:36:28,400,P406,C137
交强险,25JUL2016:17:00:00,25JUL2016:17:09:00,25JUL2016:21:35:46,1000,P350,C138
交强险,29JUL2016:12:40:00,29JUL2016:12:50:00,29JUL2016:15:48:53,800.2,P406,C139
交强险,31JUL2016:12:10:00,31JUL2016:13:25:00,01AUG2016:10:28:56,3000,P407,C140
交强险,07AUG2016:09:00:00,07AUG2016:11:28:00,10AUG2016:21:20:33,2000,P459,C141
交强险,23SEP2016:15:40:00,23SEP2016:15:49:00,24SEP2016:14:01:53,800,P468,C142
交强险,25SEP2016:05:22:00,25SEP2016:05:28:00,27SEP2016:22:47:10,400,P530,C143
交强险,24SEP2016:18:20:00,24SEP2016:18:28:00,11OCT2016:16:35:02,2100,P488,C144
交强险,29OCT2016:08:15:00,29OCT2016:08:23:00,31OCT2016:10:06:33,1800,P551,C145
交强险,29NOV2016:08:00:00,29NOV2016:08:22:00,29NOV2016:10:49:11,900,P476,C146
交强险,01DEC2016:07:53:00,01DEC2016:08:54:00,01DEC2016:14:30:30,1500,P563,C147
交强险,12JAN2017:18:15:00,12JAN2017:18:21:00,12JAN2017:19:41:49,600,P541,C148
交强险,17JAN2017:13:30:00,17JAN2017:13:39:00,17JAN2017:14:38:10,1600,P467,C149
交强险,20JAN2017:08:20:00,20JAN2017:08:26:00,10FEB2017:10:09:23,2000,P469,C150
交强险,03MAR2017:10:15:00,03MAR2017:10:31:00,15MAR2017:19:52:31,2100,P558,C151
交强险,16MAR2017:08:30:00,17MAR2017:10:07:00,17MAR2017:14:53:58,1000,P509,C152
交强险,18MAR2017:08:30:00,18MAR2017:08:32:00,02MAY2017:17:45:06,2300,P551,C153
交强险,29APR2017:20:15:00,29APR2017:20:22:00,30APR2017:14:09:01,800,P549,C154
交强险,08MAY2017:14:00:00,08MAY2017:14:30:00,12MAY2017:10:38:13,1300,P565,C155
交强险,09JUN2017:13:40:00,10JUN2017:15:14:00,11JUN2017:16:34:19,1300,P558,C156
