KINDCODE,DAMAGEDATE,REPORTDATE,ENDCASEDATE,inc,policycode,claimcode
车损险,07JUN2015:09:10:00,07JUN2015:09:45:00,07JUN2015:15:04:32,0,P1909,C531
车损险,11JUN2015:17:00:00,12JUN2015:11:11:00,12JUN2015:11:23:39,490,P1859,C532
车损险,12JUN2015:11:20:00,12JUN2015:11:26:00,12JUN2015:18:20:05,1300,P1863,C533
车损险,30JUN2015:14:40:00,30JUN2015:14:47:00,30JUN2015:18:35:03,2368,P1937,C534
车损险,31JUL2015:15:00:00,31JUL2015:15:09:00,31JUL2015:18:03:08,1015,P1886,C535
车损险,31JUL2015:19:20:00,31JUL2015:19:24:00,31JUL2015:21:47:21,301,P1921,C536
车损险,31JUL2015:19:24:00,31JUL2015:19:25:00,31JUL2015:21:44:17,301,P1921,C537
车损险,07AUG2015:17:00:00,07AUG2015:17:15:00,12AUG2015:19:03:48,3000,P1945,C538
车损险,21AUG2015:13:55:00,21AUG2015:14:01:00,21AUG2015:14:48:38,500,P1904,C539
车损险,08SEP2015:10:40:00,08SEP2015:10:46:00,08SEP2015:13:01:10,658,P1888,C540
车损险,20SEP2015:10:40:00,20SEP2015:10:45:00,20SEP2015:13:42:13,2000,P1977,C541
三者险,22SEP2015:10:30:00,22SEP2015:13:36:00,23SEP2015:12:47:00,0,P1962,C542
车损险,27SEP2015:17:50:00,27SEP2015:17:54:00,29SEP2015:13:34:12,1400,P1894,C543
三者险,27SEP2015:17:50:00,27SEP2015:17:54:00,29SEP2015:13:34:12,0,P1894,C543
车损险,08OCT2015:11:00:00,08OCT2015:14:37:00,10OCT2015:09:57:10,1200,P1908,C544
三者险,19OCT2015:08:55:00,19OCT2015:09:01:00,19OCT2015:18:24:45,0,P1942,C545
车损险,16OCT2015:20:50:00,16OCT2015:20:54:00,20OCT2015:16:03:26,1550,P1925,C546
三者险,16OCT2015:20:50:00,16OCT2015:20:54:00,20OCT2015:16:03:26,0,P1925,C546
车损险,01NOV2015:10:45:00,01NOV2015:10:50:00,01NOV2015:15:20:55,1100,P1959,C547
三者险,01NOV2015:10:45:00,01NOV2015:10:50:00,01NOV2015:15:20:55,0,P1959,C547
车损险,16NOV2015:08:10:00,16NOV2015:08:15:00,16NOV2015:16:32:09,700,P1970,C548
车损险,20NOV2015:16:40:00,20NOV2015:16:46:00,20NOV2015:18:59:14,1200,P1972,C549
车损险,25NOV2015:19:00:00,26NOV2015:08:51:00,26NOV2015:09:34:55,392,P1895,C550
车损险,26NOV2015:14:10:00,26NOV2015:14:16:00,30NOV2015:19:43:49,5526,P1970,C551
车损险,03DEC2015:11:45:00,03DEC2015:11:52:00,13APR2016:13:48:40,0,P1955,C552
车损险,17DEC2015:14:15:00,17DEC2015:14:23:00,30DEC2015:17:47:16,1100,P1982,C553
三者险,17DEC2015:14:15:00,17DEC2015:14:23:00,30DEC2015:17:47:16,5800,P1982,C553
车损险,31DEC2015:14:20:00,31DEC2015:14:33:00,31DEC2015:17:11:22,1000,P1937,C554
车损险,19JAN2016:09:20:00,19JAN2016:09:23:00,19JAN2016:16:38:36,1350,P1991,C555
三者险,18JAN2016:11:10:00,18JAN2016:11:15:00,17MAR2016:10:06:28,8000,P1937,C556
车损险,18JAN2016:11:10:00,18JAN2016:11:15:00,17MAR2016:10:06:28,6400,P1937,C556
车损险,23FEB2016:16:40:00,23FEB2016:16:49:00,23FEB2016:19:47:55,800,P1988,C557
车损险,08MAR2016:13:45:00,08MAR2016:13:54:00,08MAR2016:14:16:54,630,P1985,C558
车损险,05APR2016:17:55:00,05APR2016:18:03:00,08APR2016:21:33:54,4700,P1930,C559
车损险,27APR2016:08:25:53,27APR2016:08:27:04,27APR2016:18:49:38,560,P1940,C560
车损险,17MAY2016:10:00:00,17MAY2016:13:05:00,17MAY2016:17:54:41,350,P1941,C561
车损险,23MAY2016:18:45:00,23MAY2016:19:25:00,23MAY2016:21:44:57,1750,P2001,C562
车损险,25MAY2016:12:00:00,25MAY2016:14:44:00,25MAY2016:15:35:10,560,P1943,C563
车损险,20JUN2016:16:00:00,20JUN2016:16:04:00,30JUN2016:18:43:02,1500,P1983,C564
车损险,20JUN2016:18:05:00,20JUN2016:19:15:00,25JUL2016:18:20:20,16200,P1972,C565
车损险,05JUL2016:21:42:00,06JUL2016:09:09:00,13JUL2016:09:37:56,4500,P1988,C566
车损险,05SEP2016:10:45:00,05SEP2016:10:50:00,06SEP2016:10:36:01,950,P1976,C567
车损险,07SEP2016:17:50:00,07SEP2016:18:02:00,08SEP2016:15:01:17,2000,P1961,C568
车损险,08JAN2017:11:20:00,08JAN2017:11:25:00,13FEB2017:17:26:26,13500,P2001,C569
三者险,30AUG2016:14:55:00,30AUG2016:15:05:00,31AUG2016:11:43:18,0,P2010,C570
车损险,08SEP2016:08:50:00,08SEP2016:08:54:00,10SEP2016:09:48:57,2500,P2014,C571
三者险,08SEP2016:08:50:00,08SEP2016:08:54:00,10SEP2016:09:48:57,0,P2014,C571
三者险,14SEP2016:11:30:00,14SEP2016:11:50:00,14SEP2016:19:25:43,0,P2028,C572
车损险,26SEP2016:15:50:00,26SEP2016:16:00:00,26SEP2016:17:53:44,2500,P2036,C573
车损险,18NOV2016:20:05:00,18NOV2016:20:11:00,18NOV2016:20:50:00,770,P2038,C574
车损险,26DEC2016:08:10:00,26DEC2016:08:18:00,20JAN2017:13:29:56,48600,P2044,C575
车损险,01MAR2017:08:00:00,01MAR2017:08:06:00,07MAR2017:11:58:34,1000,P2024,C576
三者险,15APR2017:19:00:00,15APR2017:19:24:00,16APR2017:17:04:25,0,P2076,C577
三者险,27APR2017:16:30:00,27APR2017:16:36:00,29APR2017:13:27:32,0,P2053,C578
车损险,27APR2017:16:30:00,27APR2017:16:36:00,29APR2017:13:27:32,2050,P2053,C578
交强险,02MAY2015:11:35:00,02MAY2015:11:41:00,04MAY2015:15:04:04,2000,P2171,C579
交强险,10MAY2015:18:20:00,10MAY2015:18:31:00,11MAY2015:17:00:19,1300,P2174,C580
交强险,21MAY2015:09:00:00,21MAY2015:09:21:00,21MAY2015:14:34:20,0,P2148,C581
交强险,18JUN2015:11:10:00,18JUN2015:11:17:00,18JUN2015:15:53:38,0,P2143,C582
交强险,16JUL2015:19:00:00,20JUL2015:09:42:00,20JUL2015:09:58:00,1150,P2157,C583
交强险,11AUG2015:18:35:00,11AUG2015:18:39:00,12AUG2015:12:36:23,1600,P2185,C584
交强险,02SEP2015:23:00:00,03SEP2015:07:24:00,03SEP2015:18:49:48,1500,P2181,C585
交强险,25SEP2015:17:30:00,25SEP2015:17:36:00,12OCT2015:12:52:36,900,P2179,C586
交强险,10OCT2015:08:35:00,10OCT2015:09:06:00,12OCT2015:09:50:30,2200,P2167,C587
交强险,03JAN2016:12:40:00,03JAN2016:12:47:00,05JAN2016:09:06:52,1700,P2208,C588
交强险,26FEB2016:17:40:00,26FEB2016:17:52:00,27FEB2016:11:43:13,1000,P2206,C589
交强险,12APR2016:15:10:00,12APR2016:15:33:00,13APR2016:15:25:58,1300,P2211,C590
交强险,16JUL2016:14:20:00,18JUL2016:10:38:00,18JUL2016:11:46:33,2000,P2198,C591
交强险,19JUL2016:10:55:00,19JUL2016:11:06:00,19JUL2016:16:39:58,1100,P2205,C592
交强险,24JUL2016:18:05:00,24JUL2016:18:39:00,10OCT2016:14:43:48,2000,P2188,C593
交强险,16AUG2016:19:50:00,16AUG2016:19:55:00,19AUG2016:14:36:39,3000,P2221,C594
交强险,17OCT2016:18:05:00,17OCT2016:18:12:00,25OCT2016:13:53:29,700,P2235,C595
交强险,31DEC2016:12:00:00,31DEC2016:12:09:00,31DEC2016:16:49:32,2000,P2244,C596
交强险,23FEB2017:17:00:00,23FEB2017:17:06:00,23FEB2017:22:09:09,500,P2229,C597
交强险,28FEB2017:12:15:00,01MAR2017:07:14:00,06MAR2017:17:53:17,1400,P2262,C598
交强险,03MAY2017:16:45:00,03MAY2017:16:50:00,,78642,P2243,C599
交强险,12JUN2017:19:05:00,12JUN2017:19:14:00,13JUN2017:17:42:11,600,P2265,C600
交强险,23JUN2017:12:34:00,23JUN2017:12:39:00,29JUN2017:10:41:43,800,P2273,C601
车损险,17FEB2014:08:30:00,17FEB2014:08:44:00,18FEB2014:09:24:08,850,P2282,C602
车损险,01SEP2015:15:20:00,01SEP2015:15:26:00,28SEP2015:19:33:48,4999,P2292,C603
三者险,02SEP2015:23:00:00,03SEP2015:07:24:00,03SEP2015:18:49:48,0,P2294,C604
车损险,02SEP2015:23:00:00,03SEP2015:07:24:00,03SEP2015:18:49:48,2300,P2294,C604
三者险,25SEP2015:17:30:00,25SEP2015:17:36:00,12OCT2015:12:52:58,0,P2292,C605
车损险,14JAN2016:15:00:00,15JAN2016:10:10:00,15JAN2016:11:28:03,280,P2289,C606
车损险,11FEB2016:19:20:00,12FEB2016:14:36:00,12FEB2016:22:51:32,1700,P2303,C607
车损险,13FEB2016:17:15:00,13FEB2016:17:33:00,16FEB2016:18:51:10,1800,P2302,C608
车损险,04APR2016:14:00:00,04APR2016:14:37:00,04APR2016:17:43:46,1100,P2294,C609
车损险,23JUN2016:12:30:00,23JUN2016:12:39:00,24JUN2016:11:02:15,4500,P2302,C610
三者险,19JUL2016:10:55:00,19JUL2016:11:06:00,19JUL2016:16:39:58,0,P2299,C611
车损险,19JUL2016:10:55:00,19JUL2016:11:06:00,19JUL2016:16:39:58,1000,P2299,C611
车损险,17OCT2016:18:05:00,17OCT2016:18:12:00,25OCT2016:13:53:29,1100,P2311,C612
三者险,17OCT2016:18:05:00,17OCT2016:18:12:00,25OCT2016:13:53:29,0,P2311,C612
车损险,01MAY2017:16:00:00,01MAY2017:17:17:00,12MAY2017:17:36:52,4550,P2310,C613
车损险,22MAR2014:09:00:00,22MAR2014:09:16:00,22MAR2014:12:00:49,850.56,P2315,C614
车损险,30MAR2014:09:20:00,30MAR2014:09:25:00,30MAR2014:10:51:55,900,P2314,C615
车损险,02APR2014:08:35:00,02APR2014:08:40:00,02APR2014:19:42:41,2500,P2315,C616
车损险,30MAY2014:16:00:00,30MAY2014:16:01:00,31MAY2014:10:50:45,1700,P2319,C617
车损险,01SEP2014:09:20:00,01SEP2014:09:31:00,01SEP2014:16:03:59,862,P2330,C618
三者险,12OCT2014:18:50:00,12OCT2014:18:51:00,13OCT2014:17:55:24,0,P2328,C619
车损险,12OCT2014:18:50:00,12OCT2014:18:51:00,13OCT2014:17:55:24,980,P2328,C619
车损险,22JAN2015:21:10:00,22JAN2015:21:16:00,26JAN2015:17:19:53,3200,P2318,C620
车损险,31JAN2015:16:40:00,31JAN2015:16:51:00,31JAN2015:19:38:28,640,P2318,C621
车损险,14MAR2015:17:20:00,14MAR2015:17:44:00,15MAR2015:16:35:14,2933.28,P2318,C622
车损险,23APR2015:08:55:00,23APR2015:08:59:00,23APR2015:11:15:25,600,P2320,C623
车损险,21MAY2015:09:00:00,21MAY2015:09:21:00,21MAY2015:14:34:46,1700,P2330,C624
车损险,05JUN2015:10:45:00,05JUN2015:10:53:00,08JUN2015:11:39:16,1450,P2325,C625
车损险,13JUN2015:18:35:00,13JUN2015:18:42:00,13JUN2015:19:44:47,1000,P2336,C626
车损险,18JUN2015:11:10:00,18JUN2015:11:17:00,18JUN2015:15:53:38,1100,P2324,C627
三者险,16JUL2015:19:00:00,20JUL2015:09:42:00,20JUL2015:09:58:00,0,P2336,C628
车损险,11AUG2015:18:35:00,11AUG2015:18:39:00,12AUG2015:12:36:23,500,P2358,C629
三者险,11AUG2015:18:35:00,11AUG2015:18:39:00,12AUG2015:12:36:23,0,P2358,C629
车损险,07SEP2015:21:00:00,07SEP2015:21:09:00,08SEP2015:09:11:53,1200,P2361,C630
车损险,11SEP2015:11:15:00,11SEP2015:11:23:00,11SEP2015:15:05:17,1000,P2339,C631
车损险,09OCT2015:13:50:00,09OCT2015:14:00:00,09OCT2015:14:52:44,1113,P2367,C632
车损险,23OCT2015:11:30:00,23OCT2015:14:41:00,23OCT2015:18:31:53,490,P2371,C633
车损险,25OCT2015:16:30:00,25OCT2015:16:34:00,27OCT2015:18:06:14,1600,P2346,C634
车损险,02NOV2015:09:45:00,02NOV2015:09:53:00,02NOV2015:10:11:54,400,P2332,C635
车损险,13NOV2015:17:25:00,13NOV2015:17:29:00,14NOV2015:14:12:37,4900,P2356,C636
车损险,30NOV2015:12:25:00,30NOV2015:12:28:00,30NOV2015:16:56:29,700,P2355,C637
车损险,02DEC2015:15:20:00,02DEC2015:15:35:00,05DEC2015:13:08:05,2500,P2361,C638
车损险,11DEC2015:12:50:00,11DEC2015:12:53:00,16DEC2015:18:36:21,2850,P2336,C639
三者险,11DEC2015:12:50:00,11DEC2015:12:53:00,16DEC2015:18:36:21,0,P2336,C639
车损险,03JAN2016:12:40:00,03JAN2016:12:47:00,05FEB2016:09:41:33,9100,P2374,C640
车损险,15FEB2016:15:35:00,15FEB2016:15:36:00,15FEB2016:17:59:17,1730,P2358,C641
车损险,08MAR2016:09:00:00,08MAR2016:09:08:00,08MAR2016:15:50:54,1200,P2348,C642
车损险,09APR2016:20:15:00,09APR2016:20:21:00,10APR2016:18:56:21,1800,P2364,C643
车损险,20JUL2016:06:00:00,21JUL2016:19:22:00,15AUG2016:09:10:04,6200,P2373,C644
车损险,19JUL2016:22:00:00,21JUL2016:14:50:00,26JUL2016:18:13:57,1800,P2381,C645
三者险,24JUL2016:18:05:00,24JUL2016:18:39:00,10OCT2016:14:43:48,6000,P2361,C646
车损险,24JUL2016:18:05:00,24JUL2016:18:39:00,10OCT2016:14:43:48,10900,P2361,C646
车损险,24OCT2016:15:05:00,24OCT2016:15:10:00,27OCT2016:11:16:30,3666,P2376,C647
车损险,23FEB2017:17:00:00,23FEB2017:17:06:00,24FEB2017:11:05:35,3500,P2389,C648
三者险,31DEC2016:12:00:00,31DEC2016:12:09:00,31DEC2016:16:49:32,1000,P2400,C649
车损险,19JAN2017:11:45:00,19JAN2017:11:49:00,19JAN2017:17:38:09,1500,P2405,C650
三者险,28FEB2017:12:15:00,01MAR2017:07:14:00,06MAR2017:17:53:18,0,P2417,C651
三者险,03MAY2017:16:45:00,03MAY2017:16:50:00,,2940,P2399,C652
车损险,12JUN2017:19:05:00,12JUN2017:19:14:00,13JUN2017:17:42:11,700,P2421,C653
三者险,12JUN2017:19:05:00,12JUN2017:19:14:00,13JUN2017:17:42:11,0,P2421,C653
三者险,23JUN2017:12:34:00,23JUN2017:12:39:00,29JUN2017:10:41:43,0,P2429,C654
车损险,23JUN2017:12:34:00,23JUN2017:12:39:00,29JUN2017:10:41:43,3600,P2429,C654
交强险,21FEB2014:10:35:00,21FEB2014:10:49:00,22FEB2014:16:22:06,750,P2445,C655
交强险,23MAR2014:11:30:00,23MAR2014:11:45:00,23MAR2014:16:55:36,2049,P2441,C656
交强险,19MAY2014:07:37:00,19MAY2014:07:41:00,22MAY2014:09:48:47,1400,P2449,C657
交强险,20AUG2014:18:00:00,20AUG2014:18:14:00,20AUG2014:21:34:56,1100,P2461,C658
交强险,25AUG2014:10:20:00,25AUG2014:10:52:00,27AUG2014:18:27:56,3000,P2456,C659
交强险,02SEP2014:07:00:00,02SEP2014:08:41:00,03SEP2014:17:00:07,2000,P2484,C660
交强险,14OCT2014:17:53:00,14OCT2014:17:54:00,17OCT2014:08:45:51,2600,P2481,C661
交强险,31OCT2014:14:35:00,31OCT2014:15:26:00,11FEB2015:16:06:46,22261.5,P2496,C662
交强险,05NOV2014:06:25:00,05NOV2014:06:26:00,20NOV2014:15:00:35,2100,P2475,C663
交强险,22NOV2014:10:20:00,22NOV2014:10:29:00,22NOV2014:14:05:46,1000,P2455,C664
交强险,04JAN2015:16:10:00,04JAN2015:16:15:00,06JAN2015:11:09:35,2000,P2473,C665
交强险,10JAN2015:19:40:00,10JAN2015:19:46:00,11JAN2015:09:59:35,500,P2529,C666
交强险,22JAN2015:12:20:00,22JAN2015:12:33:00,22JAN2015:16:15:22,1350,P2523,C667
交强险,07MAR2015:09:10:00,07MAR2015:09:34:00,07MAR2015:11:16:00,900,P2483,C668
交强险,08MAR2015:19:20:00,08MAR2015:19:28:00,16MAR2015:09:31:20,2000,P2485,C669
交强险,11MAR2015:08:12:00,11MAR2015:08:21:00,11MAR2015:09:25:24,400,P2544,C670
交强险,11MAR2015:10:05:00,11MAR2015:10:06:00,11MAR2015:15:17:49,1000,P2556,C671
交强险,12MAR2015:10:30:00,12MAR2015:11:04:00,12MAR2015:11:27:41,2000,P2481,C672
交强险,20APR2015:12:01:00,20APR2015:12:01:00,30APR2015:15:18:13,1650,P2489,C673
交强险,30APR2015:09:00:00,30APR2015:09:03:00,30APR2015:22:50:12,800,P2533,C674
交强险,13MAY2015:20:30:00,13MAY2015:20:40:00,16OCT2015:13:27:27,34075.28,P2535,C675
交强险,18MAY2015:12:20:00,18MAY2015:12:45:00,18MAY2015:15:32:31,2000,P2490,C676
交强险,16JUN2015:12:20:00,16JUN2015:12:29:00,23FEB2016:17:32:45,36810.3,P2455,C677
交强险,20JUN2015:05:10:00,20JUN2015:05:15:00,27JUN2015:19:04:18,2100,P2491,C678
交强险,02JUL2015:09:35:00,02JUL2015:09:40:00,02JUL2015:23:48:07,1300,P2469,C679
交强险,03JUL2015:11:20:00,03JUL2015:11:28:00,03JUL2015:16:45:21,2100,P2506,C680
交强险,13JUL2015:17:50:00,13JUL2015:17:57:00,14JUL2015:18:23:02,800,P2561,C681
交强险,15JUL2015:22:30:00,15JUL2015:22:35:00,16JUL2015:19:50:49,800,P2565,C682
交强险,20JUL2015:16:00:00,20JUL2015:16:06:00,20JUL2015:17:23:49,800,P2587,C683
交强险,29JUL2015:10:00:00,29JUL2015:10:04:00,29JUL2015:13:46:27,500,P2610,C684
交强险,01SEP2015:15:00:00,01SEP2015:15:08:00,26SEP2015:17:03:00,3000,P2630,C685
交强险,07SEP2015:16:45:00,07SEP2015:16:48:00,09SEP2015:09:51:12,2100,P2622,C686
交强险,05SEP2015:17:35:00,05SEP2015:17:42:00,19SEP2015:11:48:40,1200,P2700,C687
交强险,27SEP2015:19:00:00,30SEP2015:12:17:00,30SEP2015:15:58:46,2000,P2538,C688
交强险,01OCT2015:07:40:00,01OCT2015:07:48:00,07OCT2015:09:17:15,1650,P2530,C689
交强险,14OCT2015:17:30:00,14OCT2015:17:40:00,29OCT2015:16:09:23,2100,P2661,C690
交强险,23OCT2015:18:30:00,23OCT2015:18:34:00,11NOV2015:17:17:04,2000,P2581,C691
交强险,03NOV2015:08:15:00,03NOV2015:08:22:00,03NOV2015:18:23:23,900,P2692,C692
交强险,03NOV2015:08:20:00,03NOV2015:08:54:00,,30000,P2730,C693
交强险,09NOV2015:13:30:00,09NOV2015:13:41:00,10NOV2015:13:30:53,300,P2713,C694
交强险,14NOV2015:08:00:00,14NOV2015:08:03:00,04DEC2015:13:56:38,6700,P2735,C695
交强险,22NOV2015:07:45:00,22NOV2015:07:50:00,22NOV2015:20:11:39,300,P2646,C696
交强险,26NOV2015:07:45:00,26NOV2015:07:49:00,27NOV2015:08:49:43,600,P2658,C697
交强险,28NOV2015:14:50:00,28NOV2015:15:04:00,28NOV2015:18:23:44,900,P2634,C698
交强险,30DEC2015:08:20:00,30DEC2015:08:25:00,04JAN2016:10:37:11,1000,P2699,C699
交强险,12JAN2016:10:00:00,12JAN2016:10:15:00,12JAN2016:18:16:51,2000,P2595,C700
交强险,17JAN2016:13:30:00,17JAN2016:13:32:00,17JAN2016:19:10:45,500.2,P2760,C701
交强险,22JAN2016:12:25:00,22JAN2016:12:27:00,23JAN2016:18:17:21,1100,P2585,C702
交强险,26JAN2016:11:20:00,26JAN2016:11:21:00,27JAN2016:14:06:02,2100,P2653,C703
交强险,26JAN2016:11:45:00,26JAN2016:11:50:00,11MAR2016:17:24:20,2100,P2638,C704
交强险,01FEB2016:10:45:00,01FEB2016:10:49:00,01FEB2016:18:10:34,1000,P2666,C705
交强险,02FEB2016:12:00:00,02FEB2016:12:30:00,26FEB2016:14:46:15,850,P2587,C706
交强险,07FEB2016:10:30:00,07FEB2016:10:35:00,19FEB2016:14:50:38,2100,P2786,C707
交强险,09FEB2016:16:15:00,09FEB2016:16:18:00,07MAR2016:17:49:53,2100,P2585,C708
交强险,25FEB2016:10:50:00,25FEB2016:11:11:00,26FEB2016:10:38:38,1200,P2587,C709
交强险,19MAR2016:16:40:00,19MAR2016:16:42:00,20MAR2016:11:15:42,2100,P2572,C710
交强险,04APR2016:08:15:00,04APR2016:08:25:00,04APR2016:21:57:19,3500,P2622,C711
交强险,14APR2016:11:15:00,14APR2016:11:19:00,14APR2016:20:52:14,600,P2595,C712
交强险,10APR2016:18:35:00,10APR2016:18:42:00,26APR2016:11:34:13,900,P2762,C713
交强险,06MAY2016:18:45:00,06MAY2016:19:15:00,13MAY2016:14:59:47,2200,P2673,C714
交强险,07MAY2016:08:40:00,07MAY2016:08:49:00,17MAY2016:18:12:40,1700,P2689,C715
交强险,22MAY2016:10:50:00,22MAY2016:10:55:00,22MAY2016:15:34:59,1000,P2773,C716
交强险,02JUN2016:15:40:00,02JUN2016:15:41:00,02JUN2016:16:51:57,800,P2759,C717
交强险,15JUN2016:14:00:00,15JUN2016:14:14:00,18JUN2016:11:24:30,1700,P2791,C718
交强险,11JUL2016:20:00:00,11JUL2016:20:09:00,11JUL2016:21:38:19,400,P2809,C719
交强险,13AUG2016:08:25:00,13AUG2016:08:32:00,13AUG2016:17:01:51,1500,P2778,C720
交强险,02OCT2016:19:00:00,02OCT2016:19:02:00,,11365,P2812,C721
交强险,10OCT2016:18:05:00,10OCT2016:18:12:00,11OCT2016:17:52:48,600,P2845,C722
交强险,07NOV2016:07:00:00,07NOV2016:07:09:00,07NOV2016:09:22:21,1600,P2758,C723
交强险,13OCT2016:13:00:00,26NOV2016:16:49:00,26NOV2016:19:32:00,1700,P2791,C724
交强险,14DEC2016:21:40:00,15DEC2016:15:39:00,,500,P2820,C725
交强险,20DEC2016:07:35:00,20DEC2016:07:43:00,20DEC2016:17:34:57,1200,P2908,C726
交强险,25JAN2017:12:40:00,25JAN2017:12:52:00,25JAN2017:17:45:09,700,P2875,C727
交强险,19FEB2017:11:24:00,19FEB2017:11:45:00,19FEB2017:13:57:49,800,P2811,C728
交强险,22FEB2017:07:10:00,22FEB2017:07:14:00,27FEB2017:10:32:51,2000,P2892,C729
交强险,24MAR2017:08:10:00,24MAR2017:08:15:00,28MAR2017:09:25:20,1800,P2866,C730
交强险,27APR2017:11:20:00,27APR2017:11:26:00,27APR2017:14:21:45,2000,P2831,C731
交强险,25MAY2017:12:20:00,25MAY2017:12:41:00,25MAY2017:15:53:57,900,P2916,C732
交强险,26MAY2017:11:25:00,26MAY2017:11:33:00,26MAY2017:17:19:44,3000,P2935,C733
交强险,11JUN2017:08:40:00,11JUN2017:08:45:00,11JUN2017:16:46:26,1000,P2851,C734
三者险,23MAR2014:11:30:00,23MAR2014:11:45:00,23MAR2014:16:56:16,0,P3008,C735
车损险,06DEC2014:08:00:00,06DEC2014:08:25:00,06DEC2014:13:24:07,990,P3004,C736
车损险,16JUN2015:16:25:00,16JUN2015:16:31:00,17JUN2015:16:39:28,2900,P3036,C737
三者险,13JUL2015:17:50:00,13JUL2015:17:57:00,14JUL2015:18:23:02,0,P3030,C738
车损险,14JUL2015:10:20:00,14JUL2015:10:28:00,15JUL2015:14:20:12,1100,P3042,C739
三者险,29JUL2015:10:00:00,29JUL2015:10:04:00,29JUL2015:13:46:27,0,P3040,C740
玻璃破碎险,19SEP2015:09:45:00,19SEP2015:09:52:00,19SEP2015:17:12:14,1000,P3028,C741
三者险,01OCT2015:07:40:00,01OCT2015:07:48:00,07OCT2015:09:17:15,0,P3027,C742
车损险,06NOV2015:23:00:00,07NOV2015:09:14:00,08NOV2015:13:36:12,2500,P3055,C743
车损险,15NOV2015:20:15:00,16NOV2015:12:36:00,16NOV2015:14:29:06,1120,P3057,C744
三者险,22NOV2015:07:45:00,22NOV2015:07:50:00,22NOV2015:20:11:39,0,P3049,C745
车损险,22NOV2015:07:45:00,22NOV2015:07:50:00,22NOV2015:20:11:39,1200,P3049,C745
车损险,18NOV2015:14:25:00,18NOV2015:14:32:00,19DEC2015:14:34:46,9620,P3048,C746
车损险,26NOV2015:10:25:00,26NOV2015:10:32:00,27NOV2015:17:50:01,2900,P3028,C747
三者险,17JAN2016:13:30:00,17JAN2016:13:32:00,17JAN2016:19:10:45,0,P3072,C748
三者险,22JAN2016:12:25:00,22JAN2016:12:27:00,23JAN2016:18:17:21,0,P3034,C749
车损险,22JAN2016:12:25:00,22JAN2016:12:27:00,23JAN2016:18:17:21,2800,P3034,C749
三者险,26JAN2016:11:45:00,26JAN2016:11:50:00,11MAR2016:17:24:20,0,P3048,C750
车损险,26JAN2016:11:45:00,26JAN2016:11:50:00,11MAR2016:17:24:20,8400,P3048,C750
车损险,07FEB2016:10:30:00,07FEB2016:10:35:00,19FEB2016:14:50:38,1700,P3096,C751
三者险,07FEB2016:10:30:00,07FEB2016:10:35:00,19FEB2016:14:50:38,380,P3096,C751
三者险,09FEB2016:16:15:00,09FEB2016:16:18:00,07MAR2016:17:49:53,2800,P3034,C752
车损险,09FEB2016:16:15:00,09FEB2016:16:18:00,07MAR2016:17:49:53,2500,P3034,C752
玻璃破碎险,06MAR2016:14:05:00,06MAR2016:14:09:00,06MAR2016:17:53:25,1500,P3083,C753
车损险,02APR2016:13:00:00,02APR2016:13:24:00,02APR2016:22:40:00,3500,P3051,C754
三者险,10APR2016:18:35:00,10APR2016:18:42:00,26APR2016:11:34:13,0,P3074,C755
车损险,10APR2016:18:35:00,10APR2016:18:42:00,26APR2016:11:34:13,700,P3074,C755
车损险,30APR2016:06:00:00,30APR2016:10:00:00,02MAY2016:16:38:39,4800,P3055,C756
车损险,19MAY2016:16:00:00,19MAY2016:16:08:00,19MAY2016:16:49:30,1800,P3065,C757
三者险,22MAY2016:10:50:00,22MAY2016:10:55:00,22MAY2016:15:35:12,0,P3087,C758
车损险,01JUN2016:08:50:00,01JUN2016:08:56:00,01JUN2016:15:57:55,950,P3035,C759
车损险,02JUN2016:15:40:00,02JUN2016:15:41:00,02JUN2016:16:51:57,1200,P3071,C760
三者险,02JUN2016:15:40:00,02JUN2016:15:41:00,02JUN2016:16:51:57,0,P3071,C760
三者险,15JUN2016:14:00:00,15JUN2016:14:14:00,18JUN2016:11:24:30,0,P3103,C761
三者险,11JUL2016:20:00:00,11JUL2016:20:09:00,11JUL2016:21:38:19,0,P3086,C762
车损险,02OCT2016:19:00:00,02OCT2016:19:02:00,,400,P3122,C763
三者险,02OCT2016:19:00:00,02OCT2016:19:02:00,,3560,P3122,C763
车损险,07NOV2016:07:00:00,07NOV2016:07:09:00,07NOV2016:09:22:21,1000,P3070,C764
三者险,07NOV2016:07:00:00,07NOV2016:07:09:00,07NOV2016:09:22:21,0,P3070,C764
车损险,19NOV2016:10:05:00,19NOV2016:10:11:00,21NOV2016:17:49:47,4600,P3114,C765
三者险,13OCT2016:13:00:00,26NOV2016:16:49:00,26NOV2016:19:32:00,0,P3103,C766
车损险,14DEC2016:21:40:00,15DEC2016:15:39:00,,24882.3,P3127,C767
车损险,30JAN2017:14:00:00,30JAN2017:14:04:00,10FEB2017:11:10:40,9201,P3109,C768
三者险,19FEB2017:11:24:00,19FEB2017:11:45:00,19FEB2017:13:57:49,0,P3121,C769
三者险,27APR2017:11:20:00,27APR2017:11:26:00,27APR2017:14:21:45,0,P3135,C770
车损险,20JUN2017:20:00:00,25JUN2017:15:24:00,26JUN2017:20:53:42,2400,P3136,C771
车损险,22MAR2014:19:40:00,22MAR2014:19:47:00,23MAR2014:10:02:00,1600,P3147,C772
